Address,Longitude,Latitude
100 Bedford,-79.39938,43.671725
100 Sparkhall,-79.350124,43.672332
101 Clendenan,-79.470656,43.654805
102 Glen,-79.375074,43.67829
102 Westlake,-79.306,43.68869
106 Balsam,-79.29117,43.67457
107 Gainsborough,-79.31827,43.67418
111 Balsam,-79.29089,43.67493
120 Westrose,-79.51753,43.655336
122 Marbury,-79.334175,43.76445
122 nelson st scarborough,-79.22387,43.74834
128 Hogarth Ave ,-79.34961,43.67485
129 Evans Ave,-79.48539,43.65797
132 Elinor,-79.30446,43.75325
133 Humewood,-79.427343,43.686694
133 Pegasus,-79.22603,43.782216
140 Glebemount,-79.31995,43.68951
143 Westwood,-79.35071,43.68585
15 Lady York ,-79.4632,43.7291
16 Catalina Dr Hill,-79.2107,43.73518
16 Catalina House,-79.2107,43.73518
16 Grandview,Ê-79.350100,43.673654
182 Humbervale Blvd (small),-79.50723,43.63919
182 Humbervale Large,-79.50723,43.63919
195 Dunn Ave.,-79.43332,43.63858
197 Victor,-79.345181,43.668658
1 Clevedon,-79.498428,43.724168
27 Clevedon back,-79.498585,43.725753
27 Clevedon forestpansy,Ê-79.498969,43.725677
236 Burnhamthorpe,-79.54159,43.65052
275 Major,-79.405892,43.665551
268 Westmoreland,-79.4335,43.66791
30 Lount St,-79.32883,43.67621
"32 Raymond Ave.,  Toronto,  M6S 2B3",-79.48924,43.65669
33 Norseman,-79.510209,43.636111
342 Brunswick,-79.40827,43.66729
352 St Clarens Ave,-79.44101,43.65641
37 Olive,-79.414856,43.669684
"37 Thornheights Rd, Thornhill",-79.4239,43.82954
374 Indian Grove,-79.46155,43.66109
"38 Sealstone Terrace, Toronto, Ontario",-79.21886,43.79051
Burnhamthorpe Laurel,-79.55554,43.64728
386 Burnhamthorpe back,-79.55554,43.64728
414 Rushton,-79.42947,43.68514
435 St Clarens,-79.441,43.65762
"45 castle frank crescent, toronto, ON, M4W 3A2",-79.366632,43.672854
46 Lunness,-79.54557,43.60542
56 Lyall front,-79.294864,43.681292
47 Hook Ave,-79.461,43.66586
51 Palmerston Gdns,-79.417602,43.669954
50 Playter Blvd,-79.355425,43.679862
51 Rivercrest Rd,-79.48689,43.65057
528 Dovercourt,-79.42755,43.65578
56 Lyall back,-79.294902,43.681494
57 Florence Ave,-79.41297,43.7574
57 Watson Ave,-79.49107,43.66257
58 Coalport Dr front,-79.28151,43.68725
58 Lyall,-79.294763,43.681579
58 Coalport Dr back,-79.281763,43.68738
588 Palmerston,-79.4144,43.6658
59 Stuart,-79.41805,43.75338
6 Ferncliff,-79.30446,43.69999
61 Bloomfield,-79.32926,43.67239
612 Clinton,-79.42023,43.67087
66 Barrington,-79.30158,43.6908
66 Hampton Ave,-79.35153,43.67375
"69 Hagar Ave, Toronto, ON M6N 3V3",-79.48298,43.67046
694 Manning Ave,-79.41656,43.66518
70 Enfield Ave,-79.54742,43.59366
75 Ternhill front,Ê-79.352643,43.732586
75 Ternhill back,-79.35249,43.73266
750 Logan Ave,-79.34865,43.67468
79 Abbott Ave,-79.45801,43.66011
79 Caroline Avenue,-79.33469,43.66101
8 Butternut St,-79.35598,43.68058
8 Rosewell,-79.40493,43.71006
82 Lake Cres,-79.49584,43.60644
83 Laurel back,-79.55324,43.6423
83 Laurel gate,-79.55324,43.6423
84 Sussex Ave,-79.40533,43.66421
92 Balsam Avenue Toronto ON M4E 3B7,-79.291,43.67403
Beltline,-79.39437,43.69589
Mortimer Binswood,-79.322919,43.691527
MtPleasant,-79.394361,43.694582
Ryerson East,-79.378151,43.659168
Ryerson West,-79.378497,43.659387
High Park,-79.46369,43.64654
StMichaelsCollege,-79.389682,43.666092
83 Hogarth,-79.351506,43.674045
987 St Clarens,-79.447974,43.673216
Curran Hall,-79.210997,43.777677
StJohnPaul,-79.199882,43.788126